% ranvier_dist (mm),"Electric potential (V), Point: 11","Electric potential (V), Point: 12","Electric potential (V), Point: 13","Electric potential (V), Point: 14","Electric potential (V), Point: 15"
0,3.1476923076923078e-21,1.9000000000000003e-21,1.4583870967741936e-21,9.6e-22,7.102857142857144e-22
1,2.6755384615384612e-20,1.7650000000000002e-20,1.3237258064516128e-20,9.13e-21,6.588476190476191e-21
2,4.616615384615384e-20,3.016666666666667e-20,2.3089354838709676e-20,1.5553333333333334e-20,1.141136507936508e-20
3,8.57323076923077e-20,5.653333333333334e-20,4.261612903225806e-20,2.9799999999999996e-20,2.1615873015873014e-20
4,1.2208307692307692e-19,8.040000000000001e-20,6.081935483870967e-20,4.2533333333333335e-20,3.100952380952381e-20
5,1.5975384615384615e-19,1.0533333333333333e-19,7.937741935483869e-20,5.673333333333333e-20,4.152063492063492e-20
6,1.9867692307692304e-19,1.2966666666666667e-19,9.946129032258065e-20,6.976666666666667e-20,5.133333333333334e-20
7,2.3658461538461535e-19,1.533333333333333e-19,1.1727419354838709e-19,8.31e-20,6.062222222222223e-20
8,2.8024615384615387e-19,1.8033333333333334e-19,1.4051612903225806e-19,9.743333333333335e-20,7.155238095238096e-20
9,3.215384615384615e-19,2.03e-19,1.5896774193548386e-19,1.105e-19,8.136507936507936e-20
10,3.6723076923076917e-19,2.3166666666666664e-19,1.7919354838709676e-19,1.2533333333333335e-19,9.30984126984127e-20
11,4.0276923076923073e-19,2.5399999999999996e-19,1.9551612903225805e-19,1.3566666666666668e-19,1.0235238095238096e-19
12,4.471076923076922e-19,2.8933333333333332e-19,2.2141935483870967e-19,1.5200000000000001e-19,1.1453968253968254e-19
13,4.955076923076923e-19,3.17e-19,2.476774193548387e-19,1.6666666666666665e-19,1.2606349206349206e-19
14,5.439076923076922e-19,3.48e-19,2.7251612903225806e-19,1.8433333333333333e-19,1.368888888888889e-19
15,5.852000000000001e-19,3.756666666666667e-19,2.8990322580645157e-19,2.003333333333333e-19,1.4736507936507936e-19
16,6.268307692307692e-19,4.04e-19,3.12258064516129e-19,2.1433333333333331e-19,1.581904761904762e-19
17,6.748923076923077e-19,4.306666666666667e-19,3.335483870967742e-19,2.293333333333333e-19,1.6761904761904762e-19
18,7.297230769230768e-19,4.51e-19,3.5803225806451617e-19,2.4366666666666665e-19,1.7774603174603175e-19
19,7.683076923076923e-19,4.816666666666667e-19,3.743548387096774e-19,2.6133333333333336e-19,1.8822222222222221e-19
20,8.170461538461538e-19,5.183333333333333e-19,3.995483870967742e-19,2.7800000000000003e-19,2.0079365079365082e-19
21,8.671384615384614e-19,5.526666666666667e-19,4.272258064516129e-19,2.92e-19,2.1301587301587305e-19
22,9.212923076923077e-19,5.753333333333333e-19,4.531290322580645e-19,3e-19,2.2384126984126983e-19
23,9.659692307692308e-19,5.963333333333333e-19,4.722903225806451e-19,3.103333333333333e-19,2.346666666666667e-19
24,1.013353846153846e-18,6.23e-19,4.896774193548387e-19,3.263333333333333e-19,2.4514285714285716e-19
25,1.0627692307692307e-18,6.559999999999999e-19,5.099032258064516e-19,3.46e-19,2.566666666666667e-19
26,1.127076923076923e-18,6.87e-19,5.333225806451612e-19,3.6666666666666664e-19,2.695873015873016e-19
27,1.1744615384615385e-18,7.256666666666667e-19,5.492903225806452e-19,3.8266666666666664e-19,2.814603174603175e-19
28,1.232e-18,7.530000000000001e-19,5.638387096774193e-19,3.9566666666666664e-19,2.894920634920635e-19
29,1.282769230769231e-18,7.836666666666667e-19,5.851290322580645e-19,4.06e-19,2.9682539682539687e-19
30,1.3606153846153845e-18,8.073333333333333e-19,6.120967741935483e-19,4.1966666666666667e-19,3.090476190476191e-19
31,1.4418461538461538e-18,8.470000000000001e-19,6.344516129032258e-19,4.366666666666667e-19,3.2092063492063497e-19
32,1.5298461538461538e-18,8.943333333333334e-19,6.649677419354838e-19,4.583333333333333e-19,3.3977777777777786e-19
33,1.6043076923076922e-18,9.363333333333335e-19,6.933548387096774e-19,4.72e-19,3.52e-19
34,1.692307692307692e-18,9.829999999999999e-19,7.299032258064516e-19,4.9166666666666665e-19,3.649206349206349e-19
35,1.763384615384615e-18,1.0093333333333332e-18,7.465806451612903e-19,5.056666666666667e-19,3.698095238095238e-19
36,1.868307692307692e-18,1.0366666666666665e-18,7.671612903225806e-19,5.24e-19,3.792380952380953e-19
37,1.9495384615384614e-18,1.0466666666666667e-18,7.774516129032258e-19,5.386666666666667e-19,3.8866666666666665e-19
38,2.081538461538461e-18,1.1000000000000001e-18,8.03e-19,5.623333333333333e-19,4.036825396825397e-19
39,2.183076923076923e-18,1.1433333333333334e-18,8.210967741935484e-19,5.746666666666667e-19,4.106666666666667e-19
40,2.3116923076923074e-18,1.1966666666666667e-18,8.611935483870968e-19,5.866666666666666e-19,4.2917460317460316e-19
41,2.4199999999999994e-18,1.216666666666667e-18,8.938387096774195e-19,5.979999999999999e-19,4.413968253968254e-19
42,2.5587692307692307e-18,1.2433333333333335e-18,9.197419354838709e-19,6.143333333333334e-19,4.515238095238095e-19
43,2.7686153846153844e-18,1.3e-18,9.452903225806452e-19,6.383333333333333e-19,4.647936507936508e-19
44,2.968307692307692e-18,1.3299999999999999e-18,9.64451612903226e-19,6.490000000000001e-19,4.68984126984127e-19
45,3.2323076923076917e-18,1.3966666666666667e-18,1.0063225806451613e-18,6.746666666666668e-19,4.84e-19
46,3.4556923076923077e-18,1.4299999999999999e-18,1.0173225806451613e-18,6.83e-19,4.853968253968254e-19
47,3.7806153846153845e-18,1.49e-18,1.0435806451612902e-18,7.03e-19,5.025079365079365e-19
48,4.112307692307692e-18,1.506666666666667e-18,1.0492580645161292e-18,7.096666666666667e-19,5.150793650793651e-19
49,4.542153846153845e-18,1.55e-18,1.0751612903225806e-18,7.263333333333332e-19,5.283492063492063e-19
50,5.0329230769230756e-18,1.6166666666666667e-18,1.1035483870967743e-18,7.37e-19,5.374285714285714e-19
51,5.63876923076923e-18,1.6833333333333334e-18,1.1461290322580644e-18,7.553333333333333e-19,5.451111111111111e-19
52,6.2649230769230764e-18,1.7433333333333337e-18,1.1745161290322581e-18,7.7e-19,5.538412698412698e-19
53,7.124615384615384e-18,1.8033333333333334e-18,1.2029032258064514e-18,7.850000000000001e-19,5.632698412698413e-19
54,8.028307692307691e-18,1.8599999999999997e-18,1.2312903225806453e-18,8.016666666666666e-19,5.733968253968254e-19
55,9.108e-18,1.9033333333333336e-18,1.2596774193548388e-18,8.103333333333333e-19,5.821269841269842e-19
56,9.971076923076922e-18,1.9466666666666667e-18,1.2632258064516131e-18,8.129999999999999e-19,5.817777777777778e-19
57,1.0922153846153845e-17,2.0266666666666667e-18,1.2845161290322583e-18,8.219999999999999e-19,5.936507936507937e-19
58,1.1643076923076922e-17,2.12e-18,1.3270967741935484e-18,8.456666666666667e-19,6.055238095238095e-19
59,1.2387692307692307e-17,2.216666666666667e-18,1.3838709677419354e-18,8.773333333333332e-19,6.2473015873015875e-19
60,1.2827692307692306e-17,2.3500000000000002e-18,1.4229032258064518e-18,9.04e-19,6.386984126984128e-19
61,1.2996923076923077e-17,2.4966666666666665e-18,1.4619354838709677e-18,9.266666666666666e-19,6.540634920634922e-19
62,1.265846153846154e-17,2.6233333333333336e-18,1.479677419354839e-18,9.403333333333332e-19,6.638412698412698e-19
63,1.2083076923076924e-17,2.753333333333333e-18,1.5151612903225808e-18,9.533333333333335e-19,6.7117460317460325e-19
64,1.1236923076923078e-17,2.88e-18,1.5470967741935484e-18,9.620000000000002e-19,6.774603174603175e-19
65,1.0461846153846153e-17,3.16e-18,1.6038709677419354e-18,9.946666666666665e-19,6.973650793650793e-19
66,9.372e-18,3.4666666666666667e-18,1.6677419354838709e-18,1.021e-18,7.183174603174604e-19
67,8.471692307692309e-18,3.826666666666666e-18,1.7316129032258064e-18,1.05e-18,7.413650793650793e-19
68,7.446153846153846e-18,4.09e-18,1.7741935483870965e-18,1.0466666666666667e-18,7.466031746031747e-19
69,6.704923076923077e-18,4.446666666666667e-18,1.816774193548387e-18,1.0699999999999999e-18,7.581269841269843e-19
70,5.963692307692308e-18,4.8799999999999995e-18,1.8770967741935484e-18,1.1000000000000001e-18,7.724444444444445e-19
71,5.378153846153846e-18,5.4933333333333326e-18,1.948064516129032e-18,1.16e-18,7.982857142857143e-19
72,4.836615384615385e-18,6.1733333333333336e-18,1.994193548387097e-18,1.1866666666666665e-18,8.223809523809525e-19
73,4.3492307692307694e-18,7.056666666666667e-18,2.0474193548387093e-18,1.2033333333333333e-18,8.353015873015872e-19
74,3.956615384615386e-18,7.913333333333334e-18,2.1006451612903225e-18,1.21e-18,8.454285714285714e-19
75,3.638461538461539e-18,8.893333333333334e-18,2.203548387096774e-18,1.2466666666666668e-18,8.586984126984128e-19
76,3.384615384615385e-18,9.873333333333333e-18,2.306451612903226e-18,1.2833333333333334e-18,8.806984126984128e-19
77,3.151076923076923e-18,1.0826666666666666e-17,2.416451612903226e-18,1.3166666666666666e-18,9.026984126984128e-19
78,2.954769230769231e-18,1.17e-17,2.4767741935483872e-18,1.34e-18,9.093333333333335e-19
79,2.80923076923077e-18,1.2266666666666668e-17,2.565483870967742e-18,1.3733333333333332e-18,9.215555555555556e-19
80,2.6366153846153854e-18,1.28e-17,2.682580645161291e-18,1.41e-18,9.400634920634921e-19
81,2.497846153846154e-18,1.2766666666666667e-17,2.842258064516129e-18,1.45e-18,9.659047619047621e-19
82,2.365846153846154e-18,1.2599999999999999e-17,2.9380645161290325e-18,1.4633333333333333e-18,9.823174603174604e-19
83,2.3049230769230775e-18,1.1966666666666668e-17,3.12258064516129e-18,1.5033333333333332e-18,1.0022222222222223e-18
84,2.2203076923076928e-18,1.13e-17,3.3425806451612905e-18,1.5333333333333335e-18,1.0256190476190477e-18
85,2.14923076923077e-18,1.0289999999999998e-17,3.598064516129033e-18,1.5866666666666667e-18,1.036793650793651e-18
86,2.0781538461538468e-18,9.41e-18,3.8819354838709674e-18,1.61e-18,1.0608888888888892e-18
87,2.0070769230769235e-18,8.506666666666666e-18,4.1551612903225806e-18,1.6499999999999999e-18,1.0748571428571428e-18
88,1.9360000000000007e-18,7.68e-18,4.566774193548387e-18,1.69e-18,1.0965079365079365e-18
89,1.8683076923076927e-18,6.773333333333332e-18,4.978387096774193e-18,1.7533333333333332e-18,1.120952380952381e-18
90,1.814153846153847e-18,5.956666666666667e-18,5.528387096774193e-18,1.8e-18,1.1453968253968254e-18
91,1.7498461538461544e-18,5.2566666666666664e-18,6.1209677419354834e-18,1.853333333333333e-18,1.1803174603174603e-18
92,1.6753846153846158e-18,4.6766666666666664e-18,6.788064516129032e-18,1.89e-18,1.1803174603174605e-18
93,1.5907692307692313e-18,4.19e-18,7.490645161290322e-18,1.92e-18,1.155873015873016e-18
94,1.5501538461538468e-18,3.8066666666666664e-18,8.242903225806451e-18,1.97e-18,1.1628571428571428e-18
95,1.5061538461538465e-18,3.476666666666667e-18,9.101612903225805e-18,2.0133333333333334e-18,1.176825396825397e-18
96,1.4756923076923084e-18,3.2e-18,1.012e-17,2.0833333333333334e-18,1.2292063492063493e-18
97,1.4046153846153852e-18,2.95e-18,1.0872258064516129e-17,2.1e-18,1.2222222222222223e-18
98,1.340307692307693e-18,2.7433333333333334e-18,1.1780645161290322e-17,2.1433333333333335e-18,1.218730158730159e-18
99,1.2692307692307696e-18,2.5466666666666666e-18,1.213548387096774e-17,2.1933333333333336e-18,1.2187301587301587e-18
100,1.2556923076923082e-18,2.42e-18,1.2774193548387097e-17,2.3099999999999996e-18,1.2676190476190476e-18
101,1.2286153846153853e-18,2.27e-18,1.2738709677419354e-17,2.423333333333333e-18,1.3095238095238095e-18
102,1.2218461538461544e-18,2.186666666666667e-18,1.2774193548387097e-17,2.5433333333333333e-18,1.340952380952381e-18
103,1.1778461538461543e-18,2.1e-18,1.2206451612903224e-17,2.68e-18,1.368888888888889e-18
104,1.1676923076923082e-18,2.063333333333333e-18,1.1525161290322579e-17,2.9133333333333332e-18,1.4212698412698415e-18
105,1.1575384615384617e-18,2.0099999999999997e-18,1.068774193548387e-17,3.1666666666666668e-18,1.47015873015873e-18
106,1.1778461538461543e-18,2.003333333333333e-18,9.899999999999998e-18,3.5166666666666664e-18,1.5434920634920635e-18
107,1.1846153846153852e-18,1.96e-18,9.115806451612903e-18,3.84e-18,1.6063492063492066e-18
108,1.1778461538461543e-18,1.93e-18,8.118709677419356e-18,4.1966666666666674e-18,1.6587301587301589e-18
109,1.1440000000000004e-18,1.8499999999999998e-18,7.146451612903225e-18,4.563333333333334e-18,1.686666666666667e-18
110,1.1270769230769234e-18,1.8233333333333333e-18,6.3019354838709676e-18,5.09e-18,1.7355555555555554e-18
111,1.1169230769230773e-18,1.776666666666667e-18,5.723548387096773e-18,5.790000000000001e-18,1.8403174603174604e-18
112,1.1067692307692312e-18,1.7466666666666666e-18,5.2480645161290326e-18,6.5e-18,1.9206349206349206e-18
113,1.0763076923076928e-18,1.6966666666666667e-18,4.737096774193548e-18,7.269999999999999e-18,1.9800000000000002e-18
114,1.0560000000000004e-18,1.6633333333333335e-18,4.343225806451612e-18,8.109999999999999e-18,2.0253968253968255e-18
115,1.0390769230769234e-18,1.6133333333333332e-18,3.988387096774193e-18,9.1e-18,2.1022222222222225e-18
116,1.021815384615385e-18,1.5633333333333335e-18,3.739999999999999e-18,1.0136666666666666e-17,2.1860317460317462e-18
117,9.991384615384618e-19,1.5266666666666668e-18,3.445483870967742e-18,1.1099999999999998e-17,2.245396825396826e-18
118,9.89661538461539e-19,1.5199999999999998e-18,3.179354838709677e-18,1.1933333333333333e-17,2.2942857142857144e-18
119,9.730769230769235e-19,1.49e-18,2.9806451612903225e-18,1.2599999999999999e-17,2.399047619047619e-18
120,9.541230769230773e-19,1.4466666666666667e-18,2.8280645161290323e-18,1.3000000000000002e-17,2.510793650793651e-18
121,9.273846153846156e-19,1.3833333333333335e-18,2.7393548387096775e-18,1.3133333333333333e-17,2.674920634920635e-18
122,9.084307692307696e-19,1.3566666666666666e-18,2.6187096774193545e-18,1.2766666666666667e-17,2.7971428571428573e-18
123,8.857538461538467e-19,1.32e-18,2.5051612903225805e-18,1.22e-17,2.947301587301587e-18
124,8.668000000000004e-19,1.29e-18,2.3809677419354837e-18,1.1366666666666668e-17,3.0974603174603174e-18
125,8.515692307692311e-19,1.256666666666667e-18,2.270967741935484e-18,1.0466666666666665e-17,3.306984126984127e-18
126,8.42092307692308e-19,1.2300000000000002e-18,2.192903225806451e-18,9.473333333333332e-18,3.554920634920634e-18
127,8.366769230769236e-19,1.2166666666666665e-18,2.1503225806451612e-18,8.586666666666666e-18,3.87968253968254e-18
128,8.163692307692313e-19,1.1866666666666665e-18,2.0829032258064517e-18,7.696666666666665e-18,4.204444444444445e-18
129,8.068923076923082e-19,1.17e-18,2.0438709677419356e-18,6.856666666666666e-18,4.651428571428571e-18
130,7.832000000000006e-19,1.1233333333333333e-18,1.9516129032258066e-18,5.986666666666666e-18,5.1507936507936506e-18
131,7.78461538461539e-19,1.0966666666666668e-18,1.905483870967742e-18,5.356666666666665e-18,5.831746031746032e-18
132,7.598461538461543e-19,1.0699999999999999e-18,1.8380645161290322e-18,4.7833333333333325e-18,6.579047619047619e-18
133,7.439384615384619e-19,1.0533333333333333e-18,1.7919354838709677e-18,4.37e-18,7.382222222222222e-18
134,7.270153846153851e-19,1.0266666666666666e-18,1.7564516129032257e-18,3.976666666666666e-18,8.314603174603175e-18
135,7.067076923076927e-19,9.983333333333332e-19,1.6961290322580644e-18,3.629999999999999e-18,9.22952380952381e-18
136,6.897846153846159e-19,9.736666666666668e-19,1.632258064516129e-18,3.3166666666666664e-18,1.0102539682539683e-17
137,6.806461538461543e-19,9.563333333333334e-19,1.5825806451612902e-18,3.083333333333333e-18,1.1027936507936507e-17
138,6.623692307692313e-19,9.396666666666668e-19,1.5506451612903226e-18,2.936666666666666e-18,1.2012698412698413e-17
139,6.468000000000006e-19,9.216666666666668e-19,1.5222580645161289e-18,2.7799999999999995e-18,1.278095238095238e-17
140,6.166769230769236e-19,8.793333333333333e-19,1.451290322580645e-18,2.576666666666666e-18,1.3060317460317461e-17
141,6.1295384615384665e-19,8.61e-19,1.3909677419354837e-18,2.406666666666666e-18,1.3095238095238095e-17
142,5.980615384615389e-19,8.509999999999999e-19,1.3483870967741934e-18,2.276666666666666e-18,1.278095238095238e-17
143,5.953538461538465e-19,8.523333333333333e-19,1.337741935483871e-18,2.2099999999999998e-18,1.2396825396825398e-17
144,5.865538461538466e-19,8.266666666666666e-19,1.3270967741935484e-18,2.136666666666666e-18,1.1558730158730158e-17
145,5.814769230769236e-19,8.059999999999999e-19,1.2951612903225806e-18,2.0866666666666663e-18,1.082888888888889e-17
146,5.706461538461544e-19,7.803333333333334e-19,1.245483870967742e-18,1.99e-18,9.753333333333334e-18
147,5.574461538461544e-19,7.773333333333332e-19,1.2206451612903226e-18,1.9233333333333327e-18,8.793015873015873e-18
148,5.49661538461539e-19,7.583333333333332e-19,1.1993548387096774e-18,1.833333333333333e-18,7.776825396825398e-18
149,5.422153846153851e-19,7.536666666666666e-19,1.1887096774193548e-18,1.7833333333333327e-18,6.931746031746031e-18
150,5.317230769230774e-19,7.34e-19,1.1461290322580646e-18,1.7133333333333327e-18,6.132063492063492e-18
151,5.178461538461544e-19,7.243333333333333e-19,1.1141935483870968e-18,1.6466666666666662e-18,5.412698412698413e-18
152,5.053230769230774e-19,7.066666666666665e-19,1.0893548387096774e-18,1.6133333333333326e-18,4.85047619047619e-18
153,5.01938461538462e-19,6.936666666666666e-19,1.085806451612903e-18,1.5799999999999995e-18,4.4000000000000005e-18
154,4.958461538461543e-19,6.769999999999999e-19,1.0581290322580644e-18,1.5466666666666661e-18,4.036825396825397e-18
155,4.833230769230775e-19,6.6266666666666655e-19,1.0339999999999999e-18,1.4733333333333326e-18,3.687619047619047e-18
156,4.633538461538467e-19,6.393333333333332e-19,9.79e-19,1.4033333333333328e-18,3.352380952380952e-18
157,4.511692307692312e-19,6.203333333333332e-19,9.601935483870969e-19,1.3599999999999995e-18,3.09047619047619e-18
158,4.450769230769236e-19,6.103333333333332e-19,9.428064516129032e-19,1.333333333333333e-18,2.8739682539682534e-18
159,4.444000000000005e-19,6.023333333333333e-19,9.413870967741936e-19,1.313333333333333e-18,2.734285714285714e-18
160,4.3255384615384663e-19,5.866666666666666e-19,9.119354838709676e-19,1.2699999999999994e-18,2.563174603174603e-18
161,4.237538461538467e-19,5.779999999999999e-19,8.821290322580645e-19,1.233333333333333e-18,2.4339682539682535e-18
162,4.0615384615384667e-19,5.613333333333333e-19,8.391935483870968e-19,1.1899999999999996e-18,2.266349206349206e-18
163,3.9633846153846203e-19,5.479999999999999e-19,8.253548387096774e-19,1.1633333333333327e-18,2.1615873015873014e-18
164,3.811076923076928e-19,5.19e-19,7.96258064516129e-19,1.1199999999999994e-18,2.0358730158730156e-18
165,3.729846153846159e-19,5.053333333333333e-19,7.863225806451613e-19,1.086666666666666e-18,1.955555555555555e-18
166,3.6316923076923124e-19,4.89e-19,7.536774193548385e-19,1.0403333333333329e-18,1.847301587301587e-18
167,3.5335384615384665e-19,4.7433333333333335e-19,7.306129032258064e-19,9.979999999999994e-19,1.7565079365079363e-18
168,3.415076923076928e-19,4.589999999999999e-19,6.894516129032258e-19,9.529999999999995e-19,1.662222222222222e-18
169,3.2966153846153896e-19,4.463333333333333e-19,6.720645161290321e-19,9.173333333333328e-19,1.5923809523809522e-18
170,3.168000000000005e-19,4.353333333333333e-19,6.486451612903226e-19,8.939999999999994e-19,1.5190476190476187e-18
171,3.0529230769230823e-19,4.186666666666666e-19,6.355161290322581e-19,8.646666666666662e-19,1.4596825396825392e-18
172,2.934461538461543e-19,4.046666666666666e-19,6.03225806451613e-19,8.343333333333329e-19,1.3933333333333329e-18
173,2.832923076923082e-19,3.8366666666666663e-19,5.744838709677419e-19,7.853333333333328e-19,1.3234920634920631e-18
174,2.690769230769236e-19,3.6766666666666663e-19,5.535483870967741e-19,7.459999999999994e-19,1.2501587301587296e-18
175,2.5960000000000053e-19,3.469999999999999e-19,5.354516129032257e-19,7.143333333333328e-19,1.1907936507936503e-18
176,2.5046153846153903e-19,3.3966666666666656e-19,5.233870967741935e-19,6.966666666666661e-19,1.1419047619047614e-18
177,2.4233846153846207e-19,3.259999999999999e-19,5.024516129032258e-19,6.623333333333328e-19,1.0766031746031742e-18
178,2.3083076923076975e-19,3.1833333333333323e-19,4.772580645161291e-19,6.299999999999994e-19,1.0151428571428567e-18
179,2.1627692307692353e-19,3.006666666666666e-19,4.495806451612904e-19,5.886666666666662e-19,9.557777777777772e-19
180,2.0815384615384662e-19,2.856666666666666e-19,4.2864516129032254e-19,5.639999999999996e-19,9.093333333333328e-19
181,1.9766153846153894e-19,2.6599999999999997e-19,4.1161290322580643e-19,5.286666666666661e-19,8.590476190476184e-19
182,1.9089230769230819e-19,2.533333333333333e-19,3.874838709677419e-19,5.059999999999995e-19,8.185396825396821e-19
183,1.776923076923082e-19,2.3799999999999996e-19,3.5838709677419347e-19,4.756666666666661e-19,7.619682539682535e-19
184,1.651692307692313e-19,2.2733333333333324e-19,3.321290322580645e-19,4.506666666666663e-19,7.155238095238091e-19
185,1.556923076923082e-19,2.1499999999999994e-19,3.14741935483871e-19,4.2333333333333286e-19,6.655873015873011e-19
186,1.452000000000005e-19,2.0366666666666662e-19,2.980645161290323e-19,3.949999999999995e-19,6.261269841269837e-19
187,1.3606153846153896e-19,1.8699999999999992e-19,2.774838709677419e-19,3.6233333333333286e-19,5.726984126984122e-19
188,1.2252307692307743e-19,1.7099999999999997e-19,2.533548387096774e-19,3.319999999999995e-19,5.227619047619042e-19
189,1.1203076923076973e-19,1.536666666666666e-19,2.2709677419354836e-19,3.013333333333328e-19,4.73523809523809e-19
190,1.0319692307692358e-19,1.4233333333333328e-19,2.1077419354838709e-19,2.793333333333328e-19,4.36507936507936e-19
191,9.473538461538512e-20,1.2933333333333326e-19,1.9019354838709674e-19,2.5233333333333277e-19,3.942539682539678e-19
192,8.52246153846159e-20,1.166666666666666e-19,1.738709677419355e-19,2.2599999999999946e-19,3.5304761904761853e-19
193,7.449538461538513e-20,1.0189999999999992e-19,1.5045161290322582e-19,1.9533333333333283e-19,3.0974603174603124e-19
194,6.41046153846159e-20,8.753333333333327e-20,1.302258064516129e-19,1.6633333333333283e-19,2.678412698412693e-19
195,5.3916923076923597e-20,7.40666666666666e-20,1.1046129032258064e-19,1.3999999999999947e-19,2.2593650793650744e-19
196,4.322153846153897e-20,6.059999999999993e-20,9.04483870967742e-20,1.1563333333333283e-19,1.8507936507936457e-19
197,3.3033846153846666e-20,4.63666666666666e-20,6.94774193548387e-20,9.063333333333281e-20,1.4306984126984076e-19
198,2.403076923076974e-20,3.3599999999999936e-20,4.9358064516129027e-20,6.699999999999949e-20,1.047968253968249e-19
199,1.5992307692308205e-20,2.1799999999999938e-20,3.2006451612903224e-20,4.416666666666615e-20,6.84095238095233e-20
200,8.140375692308205e-21,1.1067256666666602e-20,1.6430270645161288e-20,2.2502176666666152e-20,3.464549523809473e-20
